name,category,tent,locationIds,booths
"Propane Ltd., Stratford",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Eastern Ontario Wardens’ Caucus,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Goderich Port Management,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Corporation, Goderich",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Grey Bruce Ontario Health Team, Owen Sound",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Hear Canada,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"McDougall Energy Inc., Sault Ste. Marie",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Meat & Poultry Ontario, Guelph",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Ontario Agri-Food Discovery Centre, Listowel",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Rural Ontario Institute/AALP,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Skills Ontario, Waterloo",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Western Ontario Wardens’ Caucus,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Aecon,indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Bruce Power, Tiverton",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
Canadian Union of Skilled,indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Workers, Teeswater",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Candu Energy Inc, an AtkinsRéalis company, Port Elgin",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Kinectrics Inc., Toronto",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"LIUNA Local 1059, London",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Ontario Power Generation (OPG), Tiverton",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
Power Workers’ Union,indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Society of United Professionals, Toronto",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"UBC Local 2222, Kincardine",indoor,bruce-power-tent,3B-07-12,3B-07|3B-08|3B-09|3B-10|3B-11|3B-12
"Amabel Books, Allenford",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Equestrian Elite, Durham",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Flora and Fae, Tara",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Mike’s Wood, Elmwood",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Nana’s Sewing Basket, Walkerton",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
